,Date,User,Tweet
133,2023-03-04 23:59:59+00:00,thrivew_aguide,@marcbrackett Oh boy
134,2023-03-04 23:59:59+00:00,gloopytaro,they call me.... robyn
135,2023-03-04 23:59:59+00:00,Bonike09,"@Kiddsglasses @RealKiddWaya Happy Birthday To My Darling Fave @RealKiddWaya Wishing U All The Best In Life🙏

HAPPY BIRTHDAY KIDDWAYA
HAPPY BIRTHDAY KIDDWAYA"
136,2023-03-04 23:59:59+00:00,godshapedhole_,I ❤️ TIMBALAND
137,2023-03-04 23:59:59+00:00,TurnDesignyscw,"I'll always be your #pride, Mom. Have a great #weekend! https://t.co/lM4PmSijjg"
138,2023-03-04 23:59:59+00:00,R_lifework_Love,@wwamfarmgirl Thank you as always!
139,2023-03-04 23:59:59+00:00,Taraishome,"@ihvtwns @CourtTV @VinniePolitan Paul was supposed to be the driver of the boat. She was killed in an accidental teenaged drunken boat ride. I don't think Alex was in that boat, or was he? 🥸"
140,2023-03-04 23:59:59+00:00,JettIMasstyr,@GODKINGPREACH Dog lol
141,2023-03-04 23:59:59+00:00,arioIasIuts,i need tlou2 ellie in my life
142,2023-03-04 23:59:59+00:00,NoOne23131214,@AkonFenty_4 @dom_lucre Biden is a chameleon.  He'll say whatever he thinks will get him elected at the time.
143,2023-03-04 23:59:59+00:00,backtonas,@NewsHawksLive It depends on your competence in the analysis of issues. Comparing 4 to 5 million people to 16 to 17 million in countries could be tricky if one is daft. What factors were you considering?
144,2023-03-04 23:59:59+00:00,my_aurorahj,Can we talk about that eye contact at the beginning?! 🫠🧎🏽‍♀️https://t.co/5eRcjiztBo
145,2023-03-04 23:59:59+00:00,NFT_QUEEN_01,@KishuArb Bullish on this @BillionAireDau @CheskyDice @bullion73
146,2023-03-04 23:59:59+00:00,desderamona,"‘Fox board member Paul Ryan begged network to stop spreading election lies Dominion filing alleges’

“Ryan has remained on that board as Fox continues to push some of the same lies.”

https://t.co/7F2ynXd0EZ"
